[DEBUG] fp16: False, bf16: False
{'loss': 1.0315, 'grad_norm': 1.40625, 'learning_rate': 0.0, 'entropy': 0.6213836669921875, 'num_tokens': 18248.0, 'mean_token_accuracy': 0.820209763944149, 'epoch': 0.0}
{'loss': 2.7298, 'grad_norm': 3.125, 'learning_rate': 9.473684210526316e-05, 'entropy': 1.9052056206597223, 'num_tokens': 78854.0, 'mean_token_accuracy': 0.5213480471736855, 'epoch': 0.03}
{'loss': 2.108, 'grad_norm': 2.15625, 'learning_rate': 0.0002, 'entropy': 2.59207763671875, 'num_tokens': 122749.0, 'mean_token_accuracy': 0.6296406312845647, 'epoch': 0.06}
{'loss': 1.4128, 'grad_norm': 2.125, 'learning_rate': 0.0001998660954234636, 'entropy': 1.804608154296875, 'num_tokens': 153157.0, 'mean_token_accuracy': 0.7337099324911833, 'epoch': 0.1}
{'loss': 1.1102, 'grad_norm': 2.03125, 'learning_rate': 0.00019946474030256675, 'entropy': 1.5411651611328125, 'num_tokens': 175278.0, 'mean_token_accuracy': 0.7852844461798668, 'epoch': 0.13}
{'loss': 1.1829, 'grad_norm': 3.671875, 'learning_rate': 0.00019879700950305957, 'entropy': 1.6637969970703126, 'num_tokens': 192847.0, 'mean_token_accuracy': 0.7996542694047093, 'epoch': 0.16}
{'loss': 2.3853, 'grad_norm': 2.09375, 'learning_rate': 0.00019786469126914098, 'entropy': 3.8953857421875, 'num_tokens': 277704.0, 'mean_token_accuracy': 0.6473773843608797, 'epoch': 0.19}
{'loss': 1.915, 'grad_norm': 1.0703125, 'learning_rate': 0.0001966702824343772, 'entropy': 2.72261962890625, 'num_tokens': 321475.0, 'mean_token_accuracy': 0.7698763119056821, 'epoch': 0.22}
{'loss': 1.1194, 'grad_norm': 1.15625, 'learning_rate': 0.0001952169817349528, 'entropy': 1.4778289794921875, 'num_tokens': 351763.0, 'mean_token_accuracy': 0.8348828636109829, 'epoch': 0.26}
{'loss': 0.9264, 'grad_norm': 1.3125, 'learning_rate': 0.0001935086812431626, 'entropy': 1.1830520629882812, 'num_tokens': 373414.0, 'mean_token_accuracy': 0.8614661682397127, 'epoch': 0.29}
{'loss': 1.328, 'grad_norm': 2.109375, 'learning_rate': 0.0001915499559440855, 'entropy': 1.6551666259765625, 'num_tokens': 390528.0, 'mean_token_accuracy': 0.8110683701932431, 'epoch': 0.32}
{'loss': 2.8411, 'grad_norm': 1.0078125, 'learning_rate': 0.00018934605148335608, 'entropy': 3.7176177978515623, 'num_tokens': 478681.0, 'mean_token_accuracy': 0.6640175018459559, 'epoch': 0.35}
{'loss': 1.4003, 'grad_norm': 1.140625, 'learning_rate': 0.00018690287011884508, 'entropy': 1.8363922119140625, 'num_tokens': 523487.0, 'mean_token_accuracy': 0.8166328938677907, 'epoch': 0.38}
{'loss': 0.9325, 'grad_norm': 0.94921875, 'learning_rate': 0.00018422695491387284, 'entropy': 1.22659912109375, 'num_tokens': 554119.0, 'mean_token_accuracy': 0.8530222918838263, 'epoch': 0.42}
{'loss': 0.8586, 'grad_norm': 0.9140625, 'learning_rate': 0.00018132547221428675, 'entropy': 1.1313858032226562, 'num_tokens': 576323.0, 'mean_token_accuracy': 0.8607383836060762, 'epoch': 0.45}
{'loss': 1.0406, 'grad_norm': 1.796875, 'learning_rate': 0.00017820619245633115, 'entropy': 1.3144180297851562, 'num_tokens': 593808.0, 'mean_token_accuracy': 0.8368457403033972, 'epoch': 0.48}
{'loss': 2.6659, 'grad_norm': 1.1640625, 'learning_rate': 0.00017487746935670776, 'entropy': 3.4931060791015627, 'num_tokens': 673453.0, 'mean_token_accuracy': 0.6705395950935781, 'epoch': 0.51}
{'loss': 1.4681, 'grad_norm': 1.03125, 'learning_rate': 0.00017134821754055782, 'entropy': 1.885186767578125, 'num_tokens': 717795.0, 'mean_token_accuracy': 0.8092394946143031, 'epoch': 0.54}
{'loss': 0.8985, 'grad_norm': 1.25, 'learning_rate': 0.00016762788866728, 'entropy': 1.1620620727539062, 'num_tokens': 748181.0, 'mean_token_accuracy': 0.8548187755048275, 'epoch': 0.58}
{'loss': 0.8136, 'grad_norm': 0.69921875, 'learning_rate': 0.0001637264461181213, 'entropy': 1.0881515502929688, 'num_tokens': 770298.0, 'mean_token_accuracy': 0.8696741450577974, 'epoch': 0.61}
{'loss': 1.0561, 'grad_norm': 1.96875, 'learning_rate': 0.0001596543383133303, 'entropy': 1.29774169921875, 'num_tokens': 787610.0, 'mean_token_accuracy': 0.8448041390627623, 'epoch': 0.64}
{'loss': 2.3715, 'grad_norm': 0.94921875, 'learning_rate': 0.00015542247073033116, 'entropy': 3.0930526733398436, 'num_tokens': 869177.0, 'mean_token_accuracy': 0.716703720856458, 'epoch': 0.67}
{'loss': 1.324, 'grad_norm': 0.8515625, 'learning_rate': 0.00015104217669785713, 'entropy': 1.7280563354492187, 'num_tokens': 913335.0, 'mean_token_accuracy': 0.8214726919308305, 'epoch': 0.7}
{'loss': 0.7409, 'grad_norm': 1.2421875, 'learning_rate': 0.0001465251870442586, 'entropy': 0.9955307006835937, 'num_tokens': 944000.0, 'mean_token_accuracy': 0.8708419483155012, 'epoch': 0.74}
{'loss': 0.7063, 'grad_norm': 0.95703125, 'learning_rate': 0.00014188359868127134, 'entropy': 0.9375747680664063, 'num_tokens': 966338.0, 'mean_token_accuracy': 0.8748363692313432, 'epoch': 0.77}
{'loss': 0.8793, 'grad_norm': 2.03125, 'learning_rate': 0.00013712984220737938, 'entropy': 1.10062255859375, 'num_tokens': 983966.0, 'mean_token_accuracy': 0.8620474766939878, 'epoch': 0.8}
{'loss': 2.4688, 'grad_norm': 0.7734375, 'learning_rate': 0.00013227664861753454, 'entropy': 3.248216247558594, 'num_tokens': 1066596.0, 'mean_token_accuracy': 0.7140766389667987, 'epoch': 0.83}
{'loss': 1.1322, 'grad_norm': 1.5078125, 'learning_rate': 0.00012733701520838681, 'entropy': 1.438409423828125, 'num_tokens': 1110421.0, 'mean_token_accuracy': 0.8363609785214067, 'epoch': 0.86}
{'loss': 0.7454, 'grad_norm': 1.0546875, 'learning_rate': 0.00012232417077033414, 'entropy': 0.9931549072265625, 'num_tokens': 1140620.0, 'mean_token_accuracy': 0.8732387006282807, 'epoch': 0.9}
{'loss': 0.6928, 'grad_norm': 0.72265625, 'learning_rate': 0.00011725154015961088, 'entropy': 0.9120758056640625, 'num_tokens': 1162550.0, 'mean_token_accuracy': 0.8785477086901665, 'epoch': 0.93}
{'loss': 0.9457, 'grad_norm': 1.96875, 'learning_rate': 0.0001121327083452942, 'entropy': 1.2041763305664062, 'num_tokens': 1179986.0, 'mean_token_accuracy': 0.851108369231224, 'epoch': 0.96}
{'loss': 1.1132, 'grad_norm': 0.94140625, 'learning_rate': 0.00010698138402751314, 'entropy': 1.4608505249023438, 'num_tokens': 1223335.0, 'mean_token_accuracy': 0.8282529659569263, 'epoch': 0.99}
